ITI,Expected_Reward,Decision,RT,Total_Time
13_2,0.05,1,4.035908937,9.093265057
13_2,0.25,1,4.051724911,28.20277905
13_2,0.25,1,4.034947872,47.27929115
13_2,0.15,1,4.052405119,66.37278914
13_2,0.15,1,4.053346872,85.46690416
13_2,0.05,1,4.05174017,104.5589671
13_2,0.05,2,3.038485765,122.6388731
13_2,0.25,1,4.051407814,139.7103622
13_2,0.15,1,4.052289009,158.8040881
5_10,0.15,2,2.287543058,181.1853561
5_10,0.25,1,12.02322292,198.2242062
5_10,0.25,1,12.04008198,217.3013771
5_10,0.05,2,2.572402954,226.9100711
5_10,0.05,1,12.04026198,243.9649141
5_10,0.15,1,12.03998113,263.0411401
5_10,0.05,2,3.905694008,273.983541
5_10,0.05,1,12.03974509,291.038825
5_10,0.25,1,12.04021311,310.115715
5_10,0.25,1,12.03977013,329.1918771
10_5,0.25,1,7.037209034,348.318717
10_5,0.05,2,2.554863214,362.912606
10_5,0.05,2,2.419028044,375.3498671
10_5,0.15,1,7.054342031,392.4253321
10_5,0.25,1,7.053525925,411.5846102
10_5,0.15,2,3.552680969,427.1772511
10_5,0.25,1,7.054822922,444.2523992
10_5,0.05,2,2.738152981,459.0295081
10_5,0.15,1,7.055075169,476.1023171
10_5,0.25,1,7.052680969,495.211292
5_10,0.15,2,2.304512978,514.6069601
5_10,0.05,2,2.305197001,521.9288242
5_10,0.25,1,12.03910279,538.9831641
5_10,0.15,1,12.03921294,558.059679
5_10,0.05,2,2.287458181,567.384382
5_10,0.25,1,12.03864312,584.4401381
5_10,0.05,1,12.04084992,603.517498
5_10,0.25,1,12.04036617,622.5939541
5_10,0.05,2,2.55232501,632.1825452
5_10,0.15,2,2.353322983,639.554461
5_10,0.25,1,12.0401051,656.6113541
2_13,0.25,1,15.02459908,683.724596
2_13,0.25,1,15.04138207,702.8011651
2_13,0.05,2,2.287950993,709.1241422
2_13,0.15,2,2.354065895,713.4927621
2_13,0.05,2,2.304446936,717.8120282
2_13,0.15,1,15.04162717,734.8680701
2_13,0.05,2,2.337014914,741.2400632
2_13,0.05,2,2.320878983,745.5768561
2_13,0.15,2,2.487365007,750.0781622
2_13,0.25,1,15.04198098,767.135169
2_13,0.25,1,15.04157114,786.2119222
2_13,0.15,2,2.371091843,792.617439
2_13,0.15,1,15.04075193,809.6724992
2_13,0.25,1,15.04086709,828.7491331
13_2,0.15,1,4.036435843,841.8735962
13_2,0.25,1,4.052363157,860.9663441
13_2,0.25,1,4.051603079,880.0592201
13_2,0.05,2,2.321866989,897.4221411
13_2,0.15,1,4.05198288,914.4935372
13_2,0.05,2,2.621304035,932.155719
13_2,0.05,1,4.05235815,949.2285452
13_2,0.25,1,4.05200696,968.3381081
13_2,0.15,1,4.053074121,987.4322302
10_5,0.05,2,2.304651022,1009.895948
10_5,0.15,1,7.053006887,1026.968654
10_5,0.15,1,7.053711891,1046.061744
10_5,0.25,1,7.054672956,1065.155528
10_5,0.05,2,2.320495844,1079.514697
10_5,0.25,1,7.053668022,1096.587611
10_5,0.05,2,2.290018082,1110.93278
10_5,0.25,1,7.053928137,1128.003874
10_5,0.25,1,7.054389,1147.097809
2_13,0.15,2,2.38774395,1166.576938
2_13,0.05,2,2.537751198,1171.129965
2_13,0.25,1,15.04144192,1188.18504
2_13,0.05,2,2.388059855,1194.609116
2_13,0.15,2,4.206140995,1200.828775
2_13,0.25,1,15.04100704,1217.883525
2_13,0.25,1,15.04129696,1236.960562
2_13,0.25,1,15.0415802,1256.03731
2_13,0.15,2,2.320337057,1262.392619
2_13,0.15,2,2.287022114,1266.694571
2_13,0.05,2,2.303946972,1271.013819
2_13,0.05,2,2.303725004,1275.333606
2_13,0.25,1,15.04150915,1292.389605
2_13,0.05,2,2.368954897,1298.793299
2_13,0.15,2,2.304775953,1303.114204
2_13,0.25,1,15.04135704,1320.169766